game_id,pitcher_id,game_date,side,feature,old_value,new_value,absolute_difference,history_game_ids,history_dates,history_definition,temporal_evidence,reason
"822718","676571","2026-06-23","home","pitchesLast3Starts","61","65","4","822966|824432|824437","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822718","676571","2026-06-23","home","last5AppearancesPitchCountAvg","23","20.8","2.1999999999999993","822966|822721|824432","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822787","592332","2026-07-21","home","last3StartsKs3","7","4","3","823274|823205|822797","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822787","592332","2026-07-21","home","last3StartsBf3","25","28","3","823274|823205|822797","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822787","592332","2026-07-21","home","last5StartsBfAvg","24.2","23.2","1","823274|823205|822797","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822787","592332","2026-07-21","home","last5StartsPitchCountAvg","92","91","1","823274|823205|822797","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822787","592332","2026-07-21","home","pitchesLast3Starts","291","294","3","823274|823205|822797","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822789","693686","2026-07-17","home","pitchesLastStart","39","55","16","823203|824832|822819","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822789","693686","2026-07-17","home","pitchesLast3Starts","140","163","23","823203|824832|822819","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822789","693686","2026-07-17","home","daysSinceLastStart","6","10","4","823203|824832|822819","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822789","693686","2026-07-17","home","last3AppearancesKs2","2","1","1","823276|823203|822796","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822789","693686","2026-07-17","home","last3AppearancesKs3","2","3","1","823276|823203|822796","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822789","693686","2026-07-17","home","last3AppearancesIp1","4","2","2","823276|823203|822796","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822789","693686","2026-07-17","home","last3AppearancesIp2","3","4","1","823276|823203|822796","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822789","693686","2026-07-17","home","last3AppearancesBf1","18","8","10","823276|823203|822796","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822789","693686","2026-07-17","home","last3AppearancesBf2","17","18","1","823276|823203|822796","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822789","693686","2026-07-17","home","last3AppearancesBf3","11","9","2","823276|823203|822796","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822789","693686","2026-07-17","home","last5AppearancesIpAvg","3.3","2.1333333333333333","1.1666666666666665","823276|823203|822796","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822789","693686","2026-07-17","home","last5AppearancesBfAvg","15.3","9","6.300000000000001","823276|823203|822796","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
