game_id,game_date,scheduled_time_et,snapshot_captured_at,snapshot_classification,home_team,away_team,venue,game_type,game_type_source,home_pregame_pitcher_id,home_pregame_pitcher_name,home_final_pitcher_id,home_final_pitcher_name,home_actual_k,home_match_status,home_in_official_dataset,away_pregame_pitcher_id,away_pregame_pitcher_name,away_final_pitcher_id,away_final_pitcher_name,away_actual_k,away_match_status,away_in_official_dataset,any_defendible_observation,defendible_observation_count
"824181","2026-06-15","8:10 PM ET","2026-06-16T00:01:20.550Z","A","Houston Astros","Detroit Tigers","Daikin Park","R","MLB_STATS_API_SCHEDULE","","Kai-Wei Teng","678906","Kai-Wei Teng","","PREGAME_ID_MISSING","false","","Drew Anderson","623454","Drew Anderson","","PREGAME_ID_MISSING","false","false","0"
"824505","2026-06-15","7:10 PM ET","2026-06-15T22:24:09.743Z","A","Cincinnati Reds","New York Mets","Great American Ball Park","R","MLB_STATS_API_SCHEDULE","","Chase Burns","695505","Chase Burns","","PREGAME_ID_MISSING","false","","Tobias Myers","668964","Tobias Myers","","PREGAME_ID_MISSING","false","false","0"
"824666","2026-06-15","8:05 PM ET","2026-06-16T00:01:14.827Z","A","Chicago Cubs","Colorado Rockies","Wrigley Field","R","MLB_STATS_API_SCHEDULE","","Shota Imanaga","684007","Shota Imanaga","","PREGAME_ID_MISSING","false","","Michael Lorenzen","547179","Michael Lorenzen","","PREGAME_ID_MISSING","false","false","0"
"824993","2026-06-15","9:40 PM ET","2026-06-16T01:27:11.349Z","A","Athletics","Pittsburgh Pirates","Sutter Health Park","R","MLB_STATS_API_SCHEDULE","","J.T. Ginn","669372","J.T. Ginn","","PREGAME_ID_MISSING","false","","Jared Jones","683003","Jared Jones","","PREGAME_ID_MISSING","false","false","0"
"825071","2026-06-15","9:40 PM ET","2026-06-16T01:27:08.648Z","A","Arizona Diamondbacks","Los Angeles Angels","Chase Field","R","MLB_STATS_API_SCHEDULE","","Ryne Nelson","669194","Ryne Nelson","","PREGAME_ID_MISSING","false","","Walbert Ureña","700712","Walbert Ureña","","PREGAME_ID_MISSING","false","false","0"
"822723","2026-06-16","6:45 PM ET","2026-06-16T20:58:51.800Z","A","Washington Nationals","Kansas City Royals","Nationals Park","R","MLB_STATS_API_SCHEDULE","","Foster Griffin","656492","Foster Griffin","","PREGAME_ID_MISSING","false","","Michael Wacha","608379","Michael Wacha","","PREGAME_ID_MISSING","false","false","0"
"822888","2026-06-16","8:05 PM ET","2026-06-16T23:23:52.660Z","A","Texas Rangers","Minnesota Twins","Globe Life Field","R","MLB_STATS_API_SCHEDULE","","Kumar Rocker","677958","Kumar Rocker","","PREGAME_ID_MISSING","false","","Zebby Matthews","805673","Zebby Matthews","","PREGAME_ID_MISSING","false","false","0"
"823045","2026-06-16","7:45 PM ET","2026-06-16T23:22:34.076Z","A","St. Louis Cardinals","San Diego Padres","Busch Stadium","R","MLB_STATS_API_SCHEDULE","","Andre Pallante","669467","Andre Pallante","","PREGAME_ID_MISSING","false","","Michael King","650633","Michael King","","PREGAME_ID_MISSING","false","false","0"
"823128","2026-06-16","9:40 PM ET","2026-06-16T23:22:46.870Z","A","Seattle Mariners","Baltimore Orioles","T-Mobile Park","R","MLB_STATS_API_SCHEDULE","","Logan Gilbert","669302","Logan Gilbert","","PREGAME_ID_MISSING","false","","Brandon Young","687064","Brandon Young","","PREGAME_ID_MISSING","false","false","0"
"823451","2026-06-16","6:40 PM ET","2026-06-16T20:58:49.583Z","A","Philadelphia Phillies","Miami Marlins","Citizens Bank Park","R","MLB_STATS_API_SCHEDULE","","Jesús Luzardo","666200","Jesús Luzardo","","PREGAME_ID_MISSING","false","","Tyler Phillips","663969","Tyler Phillips","","PREGAME_ID_MISSING","false","false","0"
"823535","2026-06-16","7:05 PM ET","2026-06-16T20:58:57.094Z","A","New York Yankees","Chicago White Sox","Yankee Stadium","R","MLB_STATS_API_SCHEDULE","","Gerrit Cole","543037","Gerrit Cole","","PREGAME_ID_MISSING","false","","Davis Martin","663436","Davis Martin","","PREGAME_ID_MISSING","false","false","0"
"823775","2026-06-16","7:40 PM ET","2026-06-16T23:32:33.272Z","A","Milwaukee Brewers","Cleveland Guardians","American Family Field","R","MLB_STATS_API_SCHEDULE","","Robert Gasser","688107","Robert Gasser","","PREGAME_ID_MISSING","false","","Slade Cecconi","677944","Slade Cecconi","","PREGAME_ID_MISSING","false","false","0"
