game_id,game_date,scheduled_time_et,home_team,away_team,venue,game_status,is_final,game_type,game_type_source,has_any_pregame_snapshot,has_training_pregame_snapshot,has_current_pregame_snapshot,home_pitcher_id,home_pitcher_name,home_actual_k,home_ip,home_bf,home_pitches,home_in_official_training_dataset,away_pitcher_id,away_pitcher_name,away_actual_k,away_ip,away_bf,away_pitches,away_in_official_training_dataset,defendible_training_observation_count,source_record_count
"823926","2026-07-11","9:10 PM ET","Los Angeles Dodgers","Arizona Diamondbacks","UNIQLO Field at Dodger Stadium","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","808967","Yoshinobu Yamamoto","6","6.0","27","103","true","694297","Brandon Pfaadt","2","5.1","22","77","false","1","1"
"824249","2026-07-11","6:10 PM ET","Detroit Tigers","Philadelphia Phillies","Comerica Park","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","663554","Casey Mize","5","5.2","24","97","true","650911","Cristopher Sánchez","7","7.0","29","103","false","1","1"
"824492","2026-07-11","7:10 PM ET","Cincinnati Reds","Chicago Cubs","Great American Ball Park","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","666157","Nick Lodolo","4","5.0","22","78","true","665871","Javier Assad","4","5.0","20","82","false","1","1"
"824576","2026-07-11","2:10 PM ET","Chicago White Sox","Athletics","Rate Field","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","663542","Bryan Hudson","0","1.0","3","7","true","695611","Gage Jump","7","5.2","23","86","false","1","1"
"824813","2026-07-11","7:05 PM ET","Baltimore Orioles","Kansas City Royals","Oriole Park at Camden Yards","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","680694","Kyle Bradish","5","6.2","25","96","true","702070","Noah Cameron","9","7.0","27","100","false","1","1"
"822708","2026-07-12","1:35 PM ET","Washington Nationals","New York Yankees","Nationals Park","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","676917","Cade Cavalli","5","6.0","21","85","true","701542","Will Warren","2","5.0","19","83","false","1","1"
"822876","2026-07-12","2:35 PM ET","Texas Rangers","Houston Astros","Globe Life Field","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","669022","MacKenzie Gore","4","4.0","15","65","true","664299","Cristian Javier","4","3.0","16","60","false","1","1"
"822951","2026-07-12","1:40 PM ET","Tampa Bay Rays","Seattle Mariners","Tropicana Field","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","693855","Ian Seymour","3","3.1","19","78","true","676106","Emerson Hancock","2","1.2","6","19","false","1","1"
"823029","2026-07-12","2:15 PM ET","St. Louis Cardinals","Atlanta Braves","Busch Stadium","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","669160","Dustin May","4","4.0","20","84","true","664849","Danny Young","1","0.2","5","25","false","1","1"
"823199","2026-07-12","4:05 PM ET","San Francisco Giants","Colorado Rockies","Oracle Park","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","686790","Trevor McDonald","4","7.0","25","73","true","547179","Michael Lorenzen","1","5.0","22","79","false","1","1"
"823274","2026-07-12","4:10 PM ET","San Diego Padres","Toronto Blue Jays","Petco Park","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","608566","Germán Márquez","4","4.0","20","85","true","592332","Kevin Gausman","8","6.0","25","103","false","1","1"
"823358","2026-07-12","12:15 PM ET","Pittsburgh Pirates","Milwaukee Brewers","PNC Park","Final","true","R","MLB_STATS_API_SCHEDULE","false","false","false","694973","Paul Skenes","7","5.1","20","82","false","688107","Robert Gasser","3","3.0","18","58","false","0","1"
"823602","2026-07-12","1:40 PM ET","New York Mets","Boston Red Sox","Citi Field","","false","R","MLB_STATS_API_SCHEDULE","true","true","true","804267","Zac Thornton","","","","","false","801139","Payton Tolle","","","","","false","0","1"
"823681","2026-07-12","2:10 PM ET","Minnesota Twins","Los Angeles Angels","Target Field","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","671737","Taj Bradley","6","7.0","28","99","true","667755","José Soriano","0","5.0","20","77","false","1","1"
"823842","2026-07-12","1:40 PM ET","Miami Marlins","Cleveland Guardians","loanDepot park","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","663969","Tyler Phillips","1","1.0","6","26","true","676282","Joey Cantillo","9","5.0","22","85","false","1","1"
"823925","2026-07-12","4:10 PM ET","Los Angeles Dodgers","Arizona Diamondbacks","UNIQLO Field at Dodger Stadium","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","686218","Emmet Sheehan","7","5.1","21","101","true","683352","Mitch Bratt","0","3.0","15","58","false","1","1"
"824250","2026-07-12","1:40 PM ET","Detroit Tigers","Philadelphia Phillies","Comerica Park","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","669373","Tarik Skubal","5","5.0","21","93","true","554430","Zack Wheeler","10","6.0","22","96","false","1","1"
"824491","2026-07-12","1:40 PM ET","Cincinnati Reds","Chicago Cubs","Great American Ball Park","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","671096","Andrew Abbott","3","4.0","19","79","true","571510","Matthew Boyd","3","6.1","28","92","false","1","1"
"824574","2026-07-12","2:10 PM ET","Chicago White Sox","Athletics","Rate Field","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","702273","Noah Schultz","4","5.0","21","74","true","669372","J.T. Ginn","7","4.1","23","86","false","1","1"
"824814","2026-07-12","1:35 PM ET","Baltimore Orioles","Kansas City Royals","Oriole Park at Camden Yards","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","669358","Shane Baz","9","4.2","22","104","true","607625","Seth Lugo","6","4.0","19","89","false","1","1"
"823443","2026-07-14","8:00 PM ET","National League All-Stars","American League All-Stars","Citizens Bank Park","Final","true","A","MLB_STATS_API_SCHEDULE","false","false","false","650911","Cristopher Sánchez","2","1.0","8","34","false","656302","Dylan Cease","3","1.0","4","25","false","0","1"
"823440","2026-07-16","6:10 PM ET","Philadelphia Phillies","New York Mets","Citizens Bank Park","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","605400","Aaron Nola","6","6.0","27","97","false","681035","Christian Scott","7","5.2","20","79","false","0","1"
"822789","2026-07-17","7:15 PM ET","Toronto Blue Jays","Chicago White Sox","Rogers Centre","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","693686","Spencer Miles","4","4.0","18","60","true","641743","Anthony Kay","5","4.0","19","83","false","1","1"
"823115","2026-07-17","10:10 PM ET","Seattle Mariners","San Francisco Giants","T-Mobile Park","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","682243","Bryce Miller","6","5.2","26","91","true","694738","Landen Roupp","2","7.0","24","97","false","1","1"
"823524","2026-07-17","7:05 PM ET","New York Yankees","Los Angeles Dodgers","Yankee Stadium","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","543037","Gerrit Cole","8","6.0","23","103","false","808963","Roki Sasaki","5","5.2","22","94","false","0","1"
"823766","2026-07-17","7:40 PM ET","Milwaukee Brewers","Miami Marlins","American Family Field","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","701656","Logan Henderson","4","5.0","17","73","true","645261","Sandy Alcantara","7","6.0","25","104","false","1","1"
"824009","2026-07-17","9:38 PM ET","Los Angeles Angels","Detroit Tigers","Angel Stadium","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","672282","Reid Detmers","7","6.0","22","86","true","675512","Troy Melton","9","5.2","23","94","false","1","1"
"824090","2026-07-17","8:10 PM ET","Kansas City Royals","San Diego Padres","Kauffman Stadium","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","607625","Seth Lugo","3","6.0","23","90","true","650633","Michael King","4","5.0","21","97","false","1","1"
"824170","2026-07-17","8:10 PM ET","Houston Astros","Baltimore Orioles","Daikin Park","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","663567","Peter Lambert","10","6.0","25","104","true","665152","Dean Kremer","5","4.0","17","83","false","1","1"
"824332","2026-07-17","8:40 PM ET","Colorado Rockies","Cincinnati Reds","Coors Field","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","687312","Gabriel Hughes","6","5.1","21","82","true","663903","Brady Singer","6","7.0","26","96","false","1","1"
"824414","2026-07-17","7:10 PM ET","Cleveland Guardians","Pittsburgh Pirates","Progressive Field","Postponed","false","R","MLB_STATS_API_SCHEDULE","true","false","true","668909","Gavin Williams","","","","","false","683003","Jared Jones","","","","","false","0","2"
"824655","2026-07-17","8:05 PM ET","Chicago Cubs","Minnesota Twins","Wrigley Field","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","607067","Colin Rea","6","6.0","24","91","true","641927","Bailey Ober","7","5.1","21","88","false","1","1"
"824737","2026-07-17","7:10 PM ET","Boston Red Sox","Tampa Bay Rays","Fenway Park","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","700842","Eduardo Rivera","3","2.1","12","64","false","669438","Mason Englert","4","5.0","23","88","false","0","1"
"824901","2026-07-17","7:15 PM ET","Atlanta Braves","Texas Rangers","Truist Park","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","519242","Chris Sale","6","7.0","23","89","true","615698","Cal Quantrill","3","4.0","23","86","false","1","1"
"824981","2026-07-17","9:40 PM ET","Athletics","Washington Nationals","Sutter Health Park","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","695611","Gage Jump","8","3.2","17","87","true","676917","Cade Cavalli","9","6.0","21","95","false","1","1"
"825060","2026-07-17","9:40 PM ET","Arizona Diamondbacks","St. Louis Cardinals","Chase Field","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","518876","Merrill Kelly","3","5.0","21","87","true","700241","Michael McGreevy","5","6.1","26","94","false","1","1"
"822790","2026-07-18","3:07 PM ET","Toronto Blue Jays","Chicago White Sox","Rogers Centre","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","669456","Shane Bieber","6","6.0","22","80","false","663436","Davis Martin","5","5.2","23","85","false","0","1"
"823116","2026-07-18","8:08 PM ET","Seattle Mariners","San Francisco Giants","T-Mobile Park","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","693433","Bryan Woo","7","6.0","26","98","false","657277","Logan Webb","5","6.2","26","100","false","0","1"
"823441","2026-07-18","3:05 PM ET","Philadelphia Phillies","New York Mets","Citizens Bank Park","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","666200","Jesús Luzardo","7","5.0","20","90","false","640455","Sean Manaea","7","4.2","24","99","false","0","1"
