game_id,pitcher_id,game_date,cause,evidence,stored_last3Ks1,reconstructed_last3Ks1
824364,607536,2026-05-03,G_DIFFERENT_TEMPORAL_ORDER,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 6: 831928,4.0,0.0
824364,607536,2026-05-03,I_DIFFERENT_HISTORICAL_GAME_ID,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 6: 831928,4.0,0.0
825013,650644,2026-05-03,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 3: 823642,3.0,5.0
825013,650644,2026-05-03,G_DIFFERENT_TEMPORAL_ORDER,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 3: 823642,3.0,5.0
825013,650644,2026-05-03,I_DIFFERENT_HISTORICAL_GAME_ID,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 3: 823642,3.0,5.0
825013,800048,2026-05-03,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 2: 824453,9.0,4.0
825013,800048,2026-05-03,G_DIFFERENT_TEMPORAL_ORDER,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 2: 824453,9.0,4.0
825013,800048,2026-05-03,I_DIFFERENT_HISTORICAL_GAME_ID,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 2: 824453,9.0,4.0
824043,686799,2026-05-03,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start,5.0,1.0
824043,686799,2026-05-03,M_UNEXPLAINED,selected history record_timestamp >= target scheduled_start,5.0,1.0
824043,605280,2026-05-03,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start | stored matches older local appearance at position 5: 831462,6.0,3.0
824043,605280,2026-05-03,J_LAST_APPEARANCE_DEFINITION,selected history record_timestamp >= target scheduled_start | stored matches older local appearance at position 5: 831462,6.0,3.0
824043,605280,2026-05-03,I_DIFFERENT_HISTORICAL_GAME_ID,selected history record_timestamp >= target scheduled_start | stored matches older local appearance at position 5: 831462,6.0,3.0
823145,622491,2026-05-03,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 2: 823313,3.0,6.0
823145,622491,2026-05-03,G_DIFFERENT_TEMPORAL_ORDER,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 2: 823313,3.0,6.0
823145,622491,2026-05-03,I_DIFFERENT_HISTORICAL_GAME_ID,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 2: 823313,3.0,6.0
823145,663460,2026-05-03,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start,6.0,3.0
823145,663460,2026-05-03,M_UNEXPLAINED,selected history record_timestamp >= target scheduled_start,6.0,3.0
823307,641743,2026-05-03,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 7: 831919,2.0,1.0
823307,641743,2026-05-03,G_DIFFERENT_TEMPORAL_ORDER,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 7: 831919,2.0,1.0
823307,641743,2026-05-03,I_DIFFERENT_HISTORICAL_GAME_ID,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 7: 831919,2.0,1.0
824285,683004,2026-05-03,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 3: 823967,4.0,5.0
824285,683004,2026-05-03,G_DIFFERENT_TEMPORAL_ORDER,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 3: 823967,4.0,5.0
824285,683004,2026-05-03,I_DIFFERENT_HISTORICAL_GAME_ID,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 3: 823967,4.0,5.0
823386,656605,2026-05-13,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 4: 823403,4.0,6.0
823386,656605,2026-05-13,G_DIFFERENT_TEMPORAL_ORDER,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 4: 823403,4.0,6.0
823386,656605,2026-05-13,I_DIFFERENT_HISTORICAL_GAME_ID,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 4: 823403,4.0,6.0
823386,500779,2026-05-13,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 2: 823891,2.0,1.0
823386,500779,2026-05-13,G_DIFFERENT_TEMPORAL_ORDER,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 2: 823891,2.0,1.0
823386,500779,2026-05-13,I_DIFFERENT_HISTORICAL_GAME_ID,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 2: 823891,2.0,1.0
824763,691725,2026-05-13,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start,2.0,1.0
824763,691725,2026-05-13,M_UNEXPLAINED,selected history record_timestamp >= target scheduled_start,2.0,1.0
823631,681035,2026-05-13,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start,6.0,1.0
823631,681035,2026-05-13,M_UNEXPLAINED,selected history record_timestamp >= target scheduled_start,6.0,1.0
823631,664285,2026-05-13,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 8: 831611,3.0,4.0
823631,664285,2026-05-13,G_DIFFERENT_TEMPORAL_ORDER,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 8: 831611,3.0,4.0
823631,664285,2026-05-13,I_DIFFERENT_HISTORICAL_GAME_ID,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 8: 831611,3.0,4.0
823710,676974,2026-05-13,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 2: 824935,5.0,8.0
823710,676974,2026-05-13,G_DIFFERENT_TEMPORAL_ORDER,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 2: 824935,5.0,8.0
823710,676974,2026-05-13,I_DIFFERENT_HISTORICAL_GAME_ID,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 2: 824935,5.0,8.0
825010,669372,2026-05-13,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start,8.0,3.0
825010,669372,2026-05-13,M_UNEXPLAINED,selected history record_timestamp >= target scheduled_start,8.0,3.0
825010,669461,2026-05-13,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 4: 822754,6.0,3.0
825010,669461,2026-05-13,G_DIFFERENT_TEMPORAL_ORDER,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 4: 822754,6.0,3.0
825010,669461,2026-05-13,I_DIFFERENT_HISTORICAL_GAME_ID,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 4: 822754,6.0,3.0
823952,660271,2026-05-13,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start,8.0,7.0
823952,660271,2026-05-13,M_UNEXPLAINED,selected history record_timestamp >= target scheduled_start,8.0,7.0
824363,608372,2026-05-04,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start,2.0,4.0
824363,608372,2026-05-04,M_UNEXPLAINED,selected history record_timestamp >= target scheduled_start,2.0,4.0
824283,801139,2026-05-04,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start,4.0,11.0
824283,801139,2026-05-04,M_UNEXPLAINED,selected history record_timestamp >= target scheduled_start,4.0,11.0
822984,607259,2026-05-04,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 3: 822996,4.0,6.0
822984,607259,2026-05-04,G_DIFFERENT_TEMPORAL_ORDER,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 3: 822996,4.0,6.0
822984,607259,2026-05-04,I_DIFFERENT_HISTORICAL_GAME_ID,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 3: 822996,4.0,6.0
822984,641778,2026-05-04,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start,1.0,3.0
822984,641778,2026-05-04,M_UNEXPLAINED,selected history record_timestamp >= target scheduled_start,1.0,3.0
823874,676083,2026-05-04,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 3: 824294,4.0,2.0
823874,676083,2026-05-04,G_DIFFERENT_TEMPORAL_ORDER,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 3: 824294,4.0,2.0
823874,676083,2026-05-04,I_DIFFERENT_HISTORICAL_GAME_ID,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 3: 824294,4.0,2.0
823874,605400,2026-05-04,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start,6.0,5.0
823874,605400,2026-05-04,M_UNEXPLAINED,selected history record_timestamp >= target scheduled_start,6.0,5.0
