target_game_id,target_date,side,pitcher_id,new_feature,stored_feature,stored_value,reconstructed_value,absolute_error,exact_match,material_difference,competition_status,temporal_evidence
"822709","2026-07-10","home","687223","daysSinceLastStart","daysSinceLastStart","3","6","3","false","true","UNKNOWN","DATE_ONLY"
"822709","2026-07-10","home","687223","last3AppearancesKs1","last3Ks1","3","0","3","false","true","UNKNOWN","DATE_ONLY"
"822709","2026-07-10","home","687223","last3AppearancesKs2","last3Ks2","3","3","0","true","false","UNKNOWN","DATE_ONLY"
"822709","2026-07-10","home","687223","last3AppearancesKs3","last3Ks3","","1","","false","false","UNKNOWN","DATE_ONLY"
"822709","2026-07-10","home","687223","last3AppearancesIp1","last3Ip1","1","1","0","true","false","UNKNOWN","DATE_ONLY"
"822709","2026-07-10","home","687223","last3AppearancesIp2","last3Ip2","3.3","1","2.3","false","true","UNKNOWN","DATE_ONLY"
"822709","2026-07-10","home","687223","last3AppearancesIp3","last3Ip3","","1","","false","false","UNKNOWN","DATE_ONLY"
"822709","2026-07-10","home","687223","last3AppearancesBf1","last3Bf1","8","3","5","false","true","UNKNOWN","DATE_ONLY"
"822709","2026-07-10","home","687223","last3AppearancesBf2","last3Bf2","12","8","4","false","true","UNKNOWN","DATE_ONLY"
"822709","2026-07-10","home","687223","last3AppearancesBf3","last3Bf3","","5","","false","false","UNKNOWN","DATE_ONLY"
"822709","2026-07-10","home","687223","last5AppearancesKsAvg","last5KsAvg","3","1.4","1.6","false","true","UNKNOWN","DATE_ONLY"
"822709","2026-07-10","home","687223","last5AppearancesKsStd","last5KsStd","0","1.3564659966250538","1.3564659966250538","false","true","UNKNOWN","DATE_ONLY"
"822709","2026-07-10","home","687223","last5AppearancesIpAvg","last5IpAvg","2.2","1.4666666666666668","0.7333333333333334","false","false","UNKNOWN","DATE_ONLY"
"822709","2026-07-10","home","687223","last5AppearancesBfAvg","last5BfAvg","10","6.4","3.5999999999999996","false","true","UNKNOWN","DATE_ONLY"
"822709","2026-07-10","home","687223","last5AppearancesPitchCountAvg","last5PitchCountAvg","48","27.4","20.6","false","true","UNKNOWN","DATE_ONLY"
"822710","2026-07-08","home","656492","last3StartsKs1","last3Ks1","2","2","0","true","false","UNKNOWN","DATE_ONLY"
"822710","2026-07-08","home","656492","last3StartsKs2","last3Ks2","9","9","0","true","false","UNKNOWN","DATE_ONLY"
"822710","2026-07-08","home","656492","last3StartsKs3","last3Ks3","9","6","3","false","true","UNKNOWN","DATE_ONLY"
"822710","2026-07-08","home","656492","last3StartsIp1","last3Ip1","5","5","0","true","false","UNKNOWN","DATE_ONLY"
"822710","2026-07-08","home","656492","last3StartsIp2","last3Ip2","7","7.333333333333333","0.33333333333333304","false","false","UNKNOWN","DATE_ONLY"
"822710","2026-07-08","home","656492","last3StartsIp3","last3Ip3","7.3","6","1.2999999999999998","false","true","UNKNOWN","DATE_ONLY"
"822710","2026-07-08","home","656492","last3StartsBf1","last3Bf1","20","20","0","true","false","UNKNOWN","DATE_ONLY"
"822710","2026-07-08","home","656492","last3StartsBf2","last3Bf2","26","27","1","false","true","UNKNOWN","DATE_ONLY"
"822710","2026-07-08","home","656492","last3StartsBf3","last3Bf3","27","26","1","false","true","UNKNOWN","DATE_ONLY"
"822710","2026-07-08","home","656492","last5StartsKsAvg","last5KsAvg","6.2","5.2","1","false","true","UNKNOWN","DATE_ONLY"
"822710","2026-07-08","home","656492","last5StartsKsStd","last5KsStd","2.64","2.3151673805580453","0.32483261944195485","false","false","UNKNOWN","DATE_ONLY"
